168.85,-44.95,8.68e-05
168.95,-44.95,8.68e-05
169.05,-44.95,8.68e-05
169.15,-44.95,8.68e-05
169.25,-44.95,8.68e-05
169.35,-44.95,8.68e-05
169.45,-44.95,8.68e-05
169.55,-44.95,8.68e-05
169.65,-44.95,8.68e-05
169.75,-44.95,8.68e-05
169.85,-44.95,8.68e-05
169.95,-44.95,8.68e-05
168.85,-44.85,8.69e-05
168.95,-44.85,8.69e-05
169.05,-44.85,8.69e-05
169.15,-44.85,8.69e-05
169.25,-44.85,8.69e-05
169.35,-44.85,8.69e-05
169.45,-44.85,8.69e-05
169.55,-44.85,8.69e-05
169.65,-44.85,8.69e-05
169.75,-44.85,8.69e-05
168.95,-44.75,8.71e-05
169.05,-44.75,8.71e-05
169.15,-44.75,8.71e-05
169.25,-44.75,8.71e-05
169.35,-44.75,8.71e-05
169.45,-44.75,8.71e-05
169.55,-44.75,8.71e-05
169.65,-44.75,8.71e-05
169.05,-44.65,8.72e-05
169.15,-44.65,8.72e-05
169.25,-44.65,8.72e-05
169.35,-44.65,8.72e-05
169.45,-44.65,8.72e-05
169.55,-44.65,8.72e-05
169.15,-44.55,8.71e-05
169.35,-44.55,8.74e-05
169.45,-44.55,8.74e-05
169.55,-44.55,8.74e-05
