-27960	1.0411e-7
-27955	0
-27950	1.0411e-7
-27945	1.0411e-7
-27940	5.221e-8
-27935	5.221e-8
-27930	0
-27925	1.0411e-7
-27920	5.221e-8
-27915	0
-27910	5.221e-8
-27905	5.221e-8
-27900	1.0411e-7
-27895	1.0411e-7
-27890	0
-27885	5.221e-8
-27880	1.0411e-7
-27875	0
-27870	2.0822e-7
-27865	1.5632e-7
-27860	5.221e-8
-27855	5.221e-8
-27850	5.221e-8
-27845	2.0822e-7
-27840	0
-27835	2.0822e-7
-27830	0
-27825	0
-27820	5.221e-8
-27815	5.221e-8
-27810	5.221e-8
-27805	1.0411e-7
-27800	5.221e-8
-27795	5.221e-8
-27790	5.221e-8
-27785	1.0411e-7
-27780	5.221e-8
-27775	0
-27770	5.221e-8
-27765	1.5632e-7
-27760	1.5632e-7
-27755	5.221e-8
-27750	5.221e-8
-27745	1.5632e-7
-27740	5.221e-8
-27735	5.221e-8
-27730	5.221e-8
-27725	0
-27720	5.221e-8
-27715	5.221e-8
-27710	5.221e-8
-27705	0
-27700	5.221e-8
-27695	5.221e-8
-27690	5.221e-8
-27685	0
-27680	5.221e-8
-27675	0
-27670	1.0411e-7
-27665	1.0411e-7
-27660	1.5632e-7
-27655	0
-27650	5.221e-8
-27645	1.0411e-7
-27640	1.5632e-7
-27635	0
-27630	1.0411e-7
-27625	1.0411e-7
-27620	1.0411e-7
-27615	5.221e-8
-27610	1.0411e-7
-27605	5.221e-8
-27600	1.5632e-7
-27595	1.5632e-7
-27590	5.221e-8
-27585	1.0411e-7
-27580	1.0411e-7
-27575	1.0411e-7
-27570	2.0822e-7
-27565	2.0822e-7
-27560	1.0411e-7
-27555	5.221e-8
-27550	0
-27545	0
-27540	1.0411e-7
-27535	0
-27530	1.0411e-7
-27525	0
-27520	0
-27515	0
-27510	0
-27505	1.5632e-7
-27500	1.0411e-7
-27495	5.221e-8
-27490	5.221e-8
-27485	1.0411e-7
-27480	5.221e-8
-27475	1.0411e-7
-27470	2.0822e-7
-27465	0
-27460	1.0411e-7
-27455	0
-27450	5.221e-8
-27445	1.5632e-7
-27440	2.0822e-7
-27435	0
-27430	0
-27425	5.221e-8
-27420	2.0822e-7
-27415	1.0411e-7
-27410	5.221e-8
-27405	1.0411e-7
-27400	0
-27395	5.221e-8
-27390	1.5632e-7
-27385	1.0411e-7
-27380	2.0822e-7
-27375	5.221e-8
-27370	3.1263e-7
-27365	0
-27360	1.0411e-7
-27355	0
-27350	1.0411e-7
-27345	5.221e-8
-27340	5.221e-8
-27335	5.221e-8
-27330	1.0411e-7
-27325	1.5632e-7
-27320	0
-27315	2.0822e-7
-27310	5.221e-8
-27305	1.0411e-7
-27300	5.221e-8
-27295	1.5632e-7
-27290	2.0822e-7
-27285	2.6043e-7
-27280	5.221e-8
-27275	5.221e-8
-27270	2.0822e-7
-27265	1.5632e-7
-27260	1.5632e-7
-27255	5.221e-8
-27250	5.221e-8
-27245	1.0411e-7
-27240	5.221e-8
-27235	3.1263e-7
-27230	5.221e-8
-27225	1.0411e-7
-27220	5.221e-8
-27215	0
-27210	2.0822e-7
-27205	0
-27200	5.221e-8
-27195	0
-27190	0
-27185	2.0822e-7
-27180	1.5632e-7
-27175	5.221e-8
-27170	1.5632e-7
-27165	1.5632e-7
-27160	1.0411e-7
-27155	5.221e-8
-27150	5.221e-8
-27145	1.5632e-7
-27140	0
-27135	1.0411e-7
-27130	1.0411e-7
-27125	5.221e-8
-27120	0
-27115	2.0822e-7
-27110	2.0822e-7
-27105	5.221e-8
-27100	2.6043e-7
-27095	1.0411e-7
-27090	1.0411e-7
-27085	1.5632e-7
-27080	5.221e-8
-27075	1.0411e-7
-27070	5.221e-8
-27065	0
-27060	1.5632e-7
-27055	1.5632e-7
-27050	2.0822e-7
-27045	5.221e-8
-27040	2.0822e-7
-27035	5.221e-8
-27030	5.221e-8
-27025	5.221e-8
-27020	1.5632e-7
-27015	1.5632e-7
-27010	1.0411e-7
-27005	1.0411e-7
-27000	0
-26995	5.221e-8
-26990	0
-26985	0
-26980	2.0822e-7
-26975	1.5632e-7
-26970	1.5632e-7
-26965	2.0822e-7
-26960	2.0822e-7
-26955	1.5632e-7
-26950	1.0411e-7
-26945	1.5632e-7
-26940	5.221e-8
-26935	0
-26930	1.5632e-7
-26925	1.5632e-7
-26920	1.5632e-7
-26915	2.0822e-7
-26910	1.0411e-7
-26905	2.6043e-7
-26900	1.5632e-7
-26895	1.0411e-7
-26890	5.221e-8
-26885	1.5632e-7
-26880	1.0411e-7
-26875	2.0822e-7
-26870	1.0411e-7
-26865	3.1263e-7
-26860	4.167e-7
-26855	2.6043e-7
-26850	1.5632e-7
-26845	5.221e-8
-26840	3.1263e-7
-26835	5.221e-8
-26830	1.0411e-7
-26825	1.0411e-7
-26820	1.0411e-7
-26815	1.0411e-7
-26810	1.0411e-7
-26805	2.0822e-7
-26800	1.5632e-7
-26795	1.0411e-7
-26790	1.5632e-7
-26785	5.221e-8
-26780	2.0822e-7
-26775	1.0411e-7
-26770	1.5632e-7
-26765	1.0411e-7
-26760	2.6043e-7
-26755	3.1263e-7
-26750	1.0411e-7
-26745	5.221e-8
-26740	1.5632e-7
-26735	1.5632e-7
-26730	1.5632e-7
-26725	5.221e-8
-26720	2.0822e-7
-26715	1.5632e-7
-26710	1.5632e-7
-26705	2.0822e-7
-26700	2.0822e-7
-26695	2.6043e-7
-26690	2.0822e-7
-26685	5.221e-8
-26680	1.5632e-7
-26675	5.221e-8
-26670	5.221e-8
-26665	2.0822e-7
-26660	1.5632e-7
-26655	5.221e-8
-26650	5.221e-8
-26645	2.0822e-7
-26640	2.0822e-7
-26635	5.221e-8
-26630	1.5632e-7
-26625	2.6043e-7
-26620	1.0411e-7
-26615	2.6043e-7
-26610	2.0822e-7
-26605	2.6043e-7
-26600	3.645e-7
-26595	1.5632e-7
-26590	2.6043e-7
-26585	1.5632e-7
-26580	1.0411e-7
-26575	1.0411e-7
-26570	3.1263e-7
-26565	1.5632e-7
-26560	1.5632e-7
-26555	2.6043e-7
-26550	2.0822e-7
-26545	1.5632e-7
-26540	2.0822e-7
